ep,vl,vr,e
0.66,0.00,0.00
0.60,0.04,0.10
0.11,0.11,0.40
-0.38,0.27,0.66
-0.50,0.52,0.81
-0.23,0.81,0.89
0.06,1.05,0.95
0.18,1.18,1.06
0.01,1.22,1.17
-0.13,1.28,1.23
-0.13,1.36,1.27
-0.03,1.41,1.27
0.03,1.43,1.32
-0.02,1.44,1.36
0.01,1.47,1.38
0.13,1.48,1.37
0.07,1.46,1.37
0.01,1.47,1.40
0.01,1.48,1.40
0.02,1.48,1.42
0.04,1.51,1.46
0.03,1.50,1.44
-0.01,1.50,1.48
-0.05,1.52,1.48
0.14,1.54,1.46
0.29,1.55,1.43
0.24,1.52,1.47
0.13,1.50,1.47
0.03,1.46,1.48
-0.01,1.45,1.50
0.04,1.48,1.50
0.05,1.50,1.50
0.06,1.54,1.54
0.15,1.57,1.53
0.16,1.58,1.57
0.11,1.54,1.57
0.01,1.53,1.58
-0.12,1.53,1.60
0.01,1.56,1.54
0.15,1.57,1.49
0.15,1.56,1.50
0.06,1.54,1.52
0.03,1.54,1.53
0.05,1.55,1.53
0.12,1.56,1.54
0.13,1.55,1.53
-0.03,1.52,1.55
0.06,1.53,1.54
0.16,1.55,1.51
0.17,1.54,1.51
0.16,1.53,1.51
0.09,1.50,1.50
0.06,1.50,1.52
0.08,1.52,1.54
0.12,1.52,1.55
0.12,1.53,1.56
0.10,1.51,1.57
0.02,1.53,1.56
0.08,1.52,1.52
0.08,1.52,1.52
0.02,1.53,1.52
0.03,1.55,1.53
0.22,1.56,1.49
0.26,1.53,1.49
0.10,1.48,1.51
-0.08,1.44,1.53
-0.15,1.48,1.52
-0.04,1.54,1.52
0.12,1.57,1.47
0.09,1.58,1.48
-0.07,1.54,1.50
0.02,1.51,1.46
0.08,1.49,1.41
0.16,1.49,1.43
0.14,1.47,1.44
0.10,1.46,1.47
0.06,1.47,1.48
-0.03,1.47,1.50
-0.02,1.52,1.50
0.07,1.56,1.48
0.17,1.54,1.45
0.19,1.54,1.46
0.15,1.51,1.49
0.13,1.49,1.51
-0.01,1.47,1.53
